FII_TICKER,FII_NAME,FII_CNPJ
SEED13,HEDGE SEED FII-SUBORDINA,35689497000181
SEQR11,SEQUOIA III RENDA IMOBILIARIA -CLASSE UN,09517273000182
SEQR12,SEQUOIA III RENDA IMOBILIARIA -CLASSE UN,09517273000182
SFND11,FII SAO FERNANDO,09350920000104
SHDP11B,SHOPPING PARQUE DOM PEDRO FII-UNICA,07224019000160
SHOP11,MULT SHOPPINGS FII-UNICA,22459737000100
SHPH11,FII SHOPPING PATIO HIGIENOPOLIS,03507519000159
SHSO11,SH SPECIAL OPPS FII-UNICA,44527168000125
SJAU11,SJ AU LOGISTICA FII-UNICA,27771547000147
SNCI11,SUNO RECEBIVEIS FII-UNICA,41076710000182
SNFF11,SUNO FUNDO DE FUNDOS DE INVEST-UNICA,40011225000168
SNLG11,SUNO LOG FII-UNICA,40041711000129
SOLR11,SOLARIUM FII - FUNDO DE INVEST-UNICA,22169671000113
SPAF11,SPA FII,18311024000127
SPMO11,SUPREMO FI -UNICA,40225262000179
SPTW11,SP DOWNTOWN FII,15538445000105
SPXS11,FII SPX SYN MULTIESTRATEGIA-UNICA,43010543000100
SRVD11,SERRA VERDE FII-UNICA,38082796000141
STRX11,STARX FII-UNICA,11044355000107
TCIN11,G5 CIDADE NOVA FII-SENIOR,34197700000130
TCIN12,G5 CIDADE NOVA FII-SUB JR,34197700000130
TCPF11,TREECORP REAL ESTATE FII - I,26990011000150
TEPP11,TELLUS PROPERTIES FII,26681370000125
TGAR11,FII TG ATIVO REAL,25032881000153
TJKB11,TJK RENDA IMOBILIARIA FII-UNICA,39714024000148
TORD11,TORDESILHAS EI FII-UNICA,30230870000118
TRNT11,TORRE NORTE FII,04722883000102
TRXB11,TRX REAL ESTATE II FUNDO DE IN-UNICA,36368925000137
TRXB12,TRX REAL ESTATE II FUNDO DE IN-UNICA,36368925000137
TRXF11,TRX REAL ESTATE FUNDO DE INVES-UNICA,28548288000152
TRXF12,TRX REAL ESTATE FUNDO DE INVES-UNICA,28548288000152
TSER11,TISHMAN SPEYER RENDA CORPORATI-UNICA,34847042000184
TSNC11,TRANSINC FUNDO DE INVEST. IMOB-UNICA,17007443000107
URPR11,URCA PRIME RENDA FII-UNICA,34508872000187
VCJR11,VECTIS JUROS REAL FII-UNICA,32400250000105
VCRR11,VECTIS RENDA RESIDENCIAL FUNDO,40041723000153
VERE11,FII VEREDA,08693497000182
VGHF11,VALORA HEDGE FUND FII-UNICA,36771692000119
VGIP11,VALORA CRI INDICE DE PRECO FII-UNICA,34197811000146
